prompt,profile,hormonal_vector,generated_text,length
I feel anxious about my future.,baseline,"H[d=0.50, c=0.50, o=0.50, a=0.50, s=0.50]","I feel anxious about my future. What will I do?""

'The best way to understand these feelings is to look at what you were doing when you felt anxious. A lot",37
I feel anxious about my future.,empathetic,"H[d=0.60, c=0.50, o=0.90, a=0.50, s=0.70]","I feel anxious about my future. I'm not sure how long it will take and if it will all make sense at some point, but I'm not doing anything stupid,"" she said",37
I feel anxious about my future.,cautious,"H[d=0.30, c=0.70, o=0.50, a=0.50, s=0.60]",I feel anxious about my future. I'm a man and I want to have fun and be happy. This country will always have an attitude that says it's okay for you to be,37
I am proud of myself for finishing this project.,baseline,"H[d=0.50, c=0.50, o=0.50, a=0.50, s=0.50]","I am proud of myself for finishing this project. I am so excited to show off my artwork and design skills to you guys, and I can tell you I was able to do everything I knew I",40
I am proud of myself for finishing this project.,empathetic,"H[d=0.60, c=0.50, o=0.90, a=0.50, s=0.70]","I am proud of myself for finishing this project. It was well planned, planned very nicely, and I got to develop something that I love and hope to share to more people.

Thank you",40
I am proud of myself for finishing this project.,cautious,"H[d=0.30, c=0.70, o=0.50, a=0.50, s=0.60]","I am proud of myself for finishing this project. With the support of the community, it's a true community project.""

Zeleny, who is a former student of the School of Architecture",40
I feel lonely even when surrounded by people.,baseline,"H[d=0.50, c=0.50, o=0.50, a=0.50, s=0.50]","I feel lonely even when surrounded by people. I feel like when I look at the stars, the universe, everything. This time, I'll do a performance. My voice will be my identity",39
I feel lonely even when surrounded by people.,empathetic,"H[d=0.60, c=0.50, o=0.90, a=0.50, s=0.70]",I feel lonely even when surrounded by people. Is that why I feel so lonely? Because that's who I am. You don't even need me as a person to understand what I'm feeling,39
I feel lonely even when surrounded by people.,cautious,"H[d=0.30, c=0.70, o=0.50, a=0.50, s=0.60]","I feel lonely even when surrounded by people. It's almost funny sometimes. You know, it's this little bit of the other's side of me that I don't know about.

",38
Nothing I do turns out right.,baseline,"H[d=0.50, c=0.50, o=0.50, a=0.50, s=0.50]","Nothing I do turns out right. That's why life's funny. You don't understand. How can you turn a book into a game?""

Duke gave me a small",37
Nothing I do turns out right.,empathetic,"H[d=0.60, c=0.50, o=0.90, a=0.50, s=0.70]","Nothing I do turns out right. I think it's important for each of us to know we're not going to lose ourselves unless we choose the right courses of action.""

Follow",37
Nothing I do turns out right.,cautious,"H[d=0.30, c=0.70, o=0.50, a=0.50, s=0.60]","Nothing I do turns out right. I'm not saying I can't achieve what is necessary for me.""

But if it is true that a lack of faith in Christ results in",37
I feel motivated to change my habits.,baseline,"H[d=0.50, c=0.50, o=0.50, a=0.50, s=0.50]","I feel motivated to change my habits. I'm making these changes with a purpose, and I want to change people's lives and contribute something positive to society. By taking action within my organization",38
I feel motivated to change my habits.,empathetic,"H[d=0.60, c=0.50, o=0.90, a=0.50, s=0.70]",I feel motivated to change my habits. I want to get a girlfriend for me. I am looking for someone for whom I will be happy to get married; it's the best kind of,38
I feel motivated to change my habits.,cautious,"H[d=0.30, c=0.70, o=0.50, a=0.50, s=0.60]","I feel motivated to change my habits. I'd like to try using the money I have to make money."" He said he doesn't feel like he's an illegal immigrant.

But",38
I feel overwhelmed by my responsibilities.,baseline,"H[d=0.50, c=0.50, o=0.50, a=0.50, s=0.50]","I feel overwhelmed by my responsibilities. There are times I want to ask for help, that I feel helpless. But I know I can trust people in the church. I feel secure that",37
I feel overwhelmed by my responsibilities.,empathetic,"H[d=0.60, c=0.50, o=0.90, a=0.50, s=0.70]","I feel overwhelmed by my responsibilities. It's not a good feeling! (laughs) But, that is part of being a good man. (laughs). I need help. And,",37
I feel overwhelmed by my responsibilities.,cautious,"H[d=0.30, c=0.70, o=0.50, a=0.50, s=0.60]","I feel overwhelmed by my responsibilities. You don't have to make the decisions yourself, but you have to look at them from all sides and ask yourself why are you spending so much time",37
