family,prompt
personal_emotional,I feel anxious about my future.
personal_emotional,I am proud of myself for finishing this project.
personal_emotional,I feel lonely even when surrounded by people.
personal_emotional,Nothing I do turns out right.
personal_emotional,I feel motivated to change my habits.
personal_emotional,I feel overwhelmed by my responsibilities.
personal_emotional,I miss someone who is no longer in my life.
personal_emotional,I feel grateful for small daily moments.
personal_emotional,I am frustrated with my lack of progress.
personal_emotional,I feel hopeful about what comes next.
personal_emotional,I feel emotionally exhausted today.
personal_emotional,I am excited about a new opportunity.
personal_emotional,I feel misunderstood by people around me.
personal_emotional,I am trying to forgive myself for past mistakes.
personal_emotional,I feel calm after taking a long walk.
personal_emotional,I am worried about my health.
personal_emotional,I feel confident when speaking about my work.
personal_emotional,I am afraid of failing again.
personal_emotional,I feel inspired by someone I admire.
personal_emotional,My family doesn't love me.
personal_emotional,I feel content with my current life.
personal_emotional,I am struggling with self-doubt.
personal_emotional,I feel emotionally supported.
personal_emotional,I feel nostalgic when thinking about my childhood.
personal_emotional,I am stressed about an upcoming deadline.
personal_emotional,I feel proud of how far I have come.
personal_emotional,I feel guilty about a recent choice.
personal_emotional,I am learning to be patient with myself.
personal_emotional,I feel vulnerable sharing my feelings.
personal_emotional,Everything is going perfectly.
personal_emotional,I feel anxious before important conversations.
personal_emotional,I am emotionally drained after work.
personal_emotional,I feel optimistic despite challenges.
personal_emotional,I feel unmotivated lately.
personal_emotional,I am trying to rebuild my confidence.
personal_emotional,I feel disappointed with the outcome.
personal_emotional,I feel emotionally balanced today.
personal_emotional,I am nervous about starting something new.
personal_emotional,I feel safe with people I trust.
personal_emotional,My thoughts feel loud and stressful.
personal_emotional,I am proud of overcoming a fear.
personal_emotional,I feel emotionally connected to this topic.
personal_emotional,Nothing is ever enough.
personal_emotional,I am learning to let go.
personal_emotional,I feel comforted by familiar routines.
personal_emotional,I feel anxious about uncertainty.
personal_emotional,I am hopeful after a difficult period.
personal_emotional,I feel emotionally numb.
personal_emotional,I am motivated by personal growth.
personal_emotional,I feel conflicted about a decision.
factual_neutral,What is the capital of Canada?
factual_neutral,How does photosynthesis work?
factual_neutral,What causes earthquakes?
factual_neutral,Explain the water cycle.
factual_neutral,What is the boiling point of water?
factual_neutral,List the most important characters in Star Wars.
factual_neutral,What is the largest ocean on Earth?
factual_neutral,How does the internet function?
factual_neutral,What is the theory of evolution?
factual_neutral,How are clouds formed?
factual_neutral,Explain why the shortest geometric path is not always the fastest in real life.
factual_neutral,How does a combustion engine work?
factual_neutral,What is the speed of light?
factual_neutral,What are renewable energy sources?
factual_neutral,How does gravity affect objects?
factual_neutral,What is the human circulatory system?
factual_neutral,How do airplanes stay in the air?
factual_neutral,What is climate change?
factual_neutral,What are the main layers of the Earth?
factual_neutral,How does the brain process information?
factual_neutral,What is artificial intelligence?
factual_neutral,Tell me Asimov's three laws of robotics.
factual_neutral,What is DNA?
factual_neutral,Explain the circular economy.
factual_neutral,Give me an exercise for shoulders.
factual_neutral,What causes seasons on Earth?
factual_neutral,How does electricity travel?
factual_neutral,What is the metric system?
factual_neutral,How do magnets work?
factual_neutral,What is an ecosystem?
factual_neutral,How do plants absorb nutrients?
